user_id,variant,user_segment,age_group,region,send_time,subject_line,opened,clicked,converted
user_00032,B,Free,18-24,Europe,Evening,Your Weekly Music Recap is Here,0,0,0
user_00033,B,Free,45+,Asia Pacific,Afternoon,We picked these songs just for you,0,0,0
user_00034,B,Free,25-34,Latin America,Evening,Your Weekly Music Recap is Here,0,0,0
user_00035,A,Free,35-44,Europe,Afternoon,Your Weekly Music Recap is Here,0,0,0
user_00036,B,Free,25-34,North America,Evening,Your Weekly Music Recap is Here,0,0,0
user_00037,A,Premium,25-34,Europe,Morning,Your Weekly Music Recap is Here,0,0,0
user_00038,A,Premium,45+,Europe,Morning,We picked these songs just for you,0,0,0
user_00039,A,Premium,25-34,Latin America,Evening,Your Weekly Music Recap is Here,0,0,0
user_00040,A,Premium,25-34,Asia Pacific,Evening,Your Weekly Music Recap is Here,1,0,0
user_00041,A,Free,18-24,Europe,Morning,We picked these songs just for you,0,0,0
user_00042,B,Free,18-24,Europe,Evening,We picked these songs just for you,0,0,0
user_00043,B,Free,25-34,North America,Afternoon,We picked these songs just for you,0,0,0
user_00044,B,Free,35-44,North America,Evening,Your Weekly Music Recap is Here,0,0,0
user_00045,B,Free,25-34,North America,Evening,Your Weekly Music Recap is Here,1,0,0
user_00046,B,Free,18-24,North America,Morning,Your Weekly Music Recap is Here,0,0,0
user_00047,A,Free,25-34,Europe,Morning,We picked these songs just for you,0,0,0
user_00048,B,Free,25-34,North America,Evening,We picked these songs just for you,0,0,0
user_00049,B,Free,25-34,Europe,Afternoon,Your Weekly Music Recap is Here,1,0,0
user_00050,A,Free,45+,Europe,Evening,Your Weekly Music Recap is Here,1,0,0
user_00051,B,Premium,35-44,Europe,Afternoon,Your Weekly Music Recap is Here,0,0,0
user_00052,A,Free,18-24,Europe,Afternoon,We picked these songs just for you,0,0,0
user_00053,B,Free,45+,North America,Evening,We picked these songs just for you,1,0,0
user_00054,A,Free,25-34,Asia Pacific,Afternoon,Your Weekly Music Recap is Here,1,0,0
user_00055,B,Free,35-44,North America,Morning,We picked these songs just for you,1,0,0
user_00056,B,Free,18-24,Asia Pacific,Afternoon,We picked these songs just for you,0,0,0
user_00057,A,Free,35-44,North America,Afternoon,We picked these songs just for you,1,0,0
user_00058,A,Free,18-24,Europe,Afternoon,We picked these songs just for you,0,0,0
user_00059,A,Free,25-34,North America,Morning,Your Weekly Music Recap is Here,1,0,0
user_00060,A,Premium,18-24,North America,Morning,Your Weekly Music Recap is Here,1,0,0
user_00061,A,Premium,18-24,Europe,Evening,We picked these songs just for you,1,0,0
user_00062,A,Free,18-24,Latin America,Afternoon,We picked these songs just for you,0,0,0
user_00063,A,Free,18-24,North America,Morning,Your Weekly Music Recap is Here,0,0,0
user_00064,A,Premium,18-24,Europe,Afternoon,We picked these songs just for you,0,0,0
user_00065,B,Free,35-44,North America,Afternoon,We picked these songs just for you,0,0,0
user_00066,B,Free,18-24,North America,Evening,Your Weekly Music Recap is Here,0,0,0
user_00067,A,Free,25-34,Asia Pacific,Afternoon,We picked these songs just for you,0,0,0
user_00068,B,Premium,18-24,Latin America,Morning,Your Weekly Music Recap is Here,1,0,0
user_00069,B,Free,45+,Europe,Evening,We picked these songs just for you,0,0,0
user_00070,B,Free,45+,North America,Evening,We picked these songs just for you,0,0,0
user_00071,B,Premium,18-24,North America,Afternoon,We picked these songs just for you,0,0,0
user_00072,A,Free,25-34,Asia Pacific,Afternoon,We picked these songs just for you,0,0,0
user_00073,B,Free,18-24,North America,Morning,We picked these songs just for you,0,0,0
user_00074,A,Premium,45+,Latin America,Afternoon,We picked these songs just for you,0,0,0
user_00075,B,Free,25-34,North America,Morning,We picked these songs just for you,1,0,0
user_00076,B,Free,18-24,Asia Pacific,Afternoon,We picked these songs just for you,1,0,0
user_00077,B,Free,18-24,North America,Morning,Your Weekly Music Recap is Here,0,0,0
user_00078,A,Free,18-24,North America,Afternoon,Your Weekly Music Recap is Here,1,0,0
user_00079,B,Free,25-34,Europe,Evening,Your Weekly Music Recap is Here,0,0,0
user_00080,A,Free,35-44,Asia Pacific,Morning,Your Weekly Music Recap is Here,0,0,0
user_00081,B,Free,25-34,Asia Pacific,Evening,We picked these songs just for you,1,0,0
user_00082,A,Premium,25-34,Latin America,Evening,Your Weekly Music Recap is Here,0,0,0
user_00083,B,Free,18-24,Latin America,Evening,Your Weekly Music Recap is Here,1,0,0
user_00084,A,Free,18-24,Europe,Evening,We picked these songs just for you,0,0,0
user_00085,A,Free,18-24,Latin America,Morning,We picked these songs just for you,0,0,0
user_00086,B,Premium,35-44,Latin America,Afternoon,We picked these songs just for you,1,0,0
user_00087,A,Free,18-24,Europe,Evening,We picked these songs just for you,0,0,0
user_00088,B,Free,25-34,Europe,Afternoon,We picked these songs just for you,0,0,0
user_00089,B,Free,18-24,Europe,Morning,Your Weekly Music Recap is Here,0,0,0
user_00090,B,Free,18-24,Europe,Afternoon,We picked these songs just for you,0,0,0
user_00091,B,Free,25-34,Latin America,Morning,We picked these songs just for you,1,0,0
user_00092,B,Premium,25-34,North America,Afternoon,We picked these songs just for you,0,0,0
user_00093,B,Free,25-34,North America,Morning,Your Weekly Music Recap is Here,0,0,0
user_00094,B,Free,25-34,Europe,Morning,We picked these songs just for you,1,0,0
user_00095,B,Free,25-34,North America,Afternoon,We picked these songs just for you,0,0,0
user_00096,B,Premium,18-24,Europe,Evening,Your Weekly Music Recap is Here,0,0,0
user_00097,B,Free,25-34,Asia Pacific,Evening,Your Weekly Music Recap is Here,0,0,0
user_00098,B,Free,35-44,Europe,Afternoon,We picked these songs just for you,0,0,0
user_00099,A,Free,18-24,Latin America,Evening,Your Weekly Music Recap is Here,0,0,0
user_00100,A,Free,25-34,North America,Evening,Your Weekly Music Recap is Here,0,0,0
user_00101,B,Free,18-24,Asia Pacific,Morning,We picked these songs just for you,0,0,0
user_00102,B,Free,18-24,Europe,Afternoon,Your Weekly Music Recap is Here,0,0,0
user_00103,B,Free,25-34,North America,Evening,Your Weekly Music Recap is Here,0,0,0
user_00104,B,Free,45+,Europe,Evening,We picked these songs just for you,0,0,0
user_00105,B,Free,45+,Asia Pacific,Evening,Your Weekly Music Recap is Here,1,0,0
user_00106,B,Free,18-24,North America,Afternoon,Your Weekly Music Recap is Here,1,0,0
user_00107,B,Free,25-34,Europe,Evening,We picked these songs just for you,0,0,0
user_00108,B,Premium,25-34,Asia Pacific,Evening,We picked these songs just for you,1,0,0
user_00109,A,Premium,18-24,North America,Evening,Your Weekly Music Recap is Here,0,0,0
user_00110,B,Premium,35-44,Europe,Morning,Your Weekly Music Recap is Here,1,0,0
user_00111,A,Premium,35-44,Europe,Afternoon,Your Weekly Music Recap is Here,0,0,0
user_00112,B,Free,45+,North America,Evening,Your Weekly Music Recap is Here,0,0,0
user_00113,B,Premium,18-24,Europe,Morning,Your Weekly Music Recap is Here,1,0,0
user_00114,A,Free,18-24,North America,Afternoon,We picked these songs just for you,0,0,0
user_00115,B,Free,35-44,Latin America,Morning,Your Weekly Music Recap is Here,0,0,0
user_00116,A,Free,35-44,North America,Morning,Your Weekly Music Recap is Here,1,1,0
user_00117,B,Free,45+,North America,Afternoon,We picked these songs just for you,1,0,0
user_00118,B,Premium,18-24,Europe,Evening,We picked these songs just for you,0,0,0
user_00119,A,Free,25-34,North America,Evening,Your Weekly Music Recap is Here,1,0,0
user_00120,B,Free,25-34,North America,Morning,Your Weekly Music Recap is Here,0,0,0
user_00121,A,Premium,18-24,Latin America,Afternoon,We picked these songs just for you,0,0,0
user_00122,B,Free,25-34,Asia Pacific,Afternoon,Your Weekly Music Recap is Here,0,0,0
user_00123,A,Free,25-34,Latin America,Evening,We picked these songs just for you,1,0,0
user_00124,A,Premium,18-24,Europe,Morning,We picked these songs just for you,0,0,0
user_00125,B,Free,18-24,Latin America,Evening,We picked these songs just for you,0,0,0
user_00126,B,Free,25-34,Asia Pacific,Afternoon,We picked these songs just for you,0,0,0
user_00127,A,Free,25-34,Europe,Afternoon,Your Weekly Music Recap is Here,0,0,0
user_00128,B,Free,45+,North America,Evening,We picked these songs just for you,0,0,0
user_00129,B,Premium,18-24,North America,Evening,Your Weekly Music Recap is Here,0,0,0
user_00130,B,Free,18-24,Europe,Afternoon,We picked these songs just for you,0,0,0
user_00131,A,Free,45+,Asia Pacific,Morning,Your Weekly Music Recap is Here,0,0,0
user_00132,A,Free,45+,Europe,Afternoon,Your Weekly Music Recap is Here,0,0,0
user_00133,A,Free,18-24,Europe,Morning,We picked these songs just for you,0,0,0
user_00134,A,Premium,35-44,North America,Evening,Your Weekly Music Recap is Here,0,0,0
user_00135,A,Free,18-24,North America,Evening,Your Weekly Music Recap is Here,0,0,0
user_00136,A,Free,18-24,Europe,Morning,Your Weekly Music Recap is Here,1,1,0
user_00137,A,Free,18-24,Asia Pacific,Afternoon,We picked these songs just for you,0,0,0
user_00138,A,Free,18-24,North America,Afternoon,Your Weekly Music Recap is Here,0,0,0
user_00139,A,Premium,35-44,Latin America,Morning,Your Weekly Music Recap is Here,0,0,0
user_00140,B,Free,35-44,North America,Morning,We picked these songs just for you,0,0,0
user_00141,A,Free,45+,Europe,Morning,We picked these songs just for you,0,0,0
user_00142,B,Free,35-44,Europe,Morning,Your Weekly Music Recap is Here,1,0,0
user_00143,B,Premium,25-34,Latin America,Afternoon,We picked these songs just for you,0,0,0
user_00144,B,Free,35-44,North America,Evening,We picked these songs just for you,0,0,0
user_00145,A,Premium,45+,North America,Afternoon,We picked these songs just for you,0,0,0
user_00146,A,Free,35-44,North America,Morning,Your Weekly Music Recap is Here,1,1,0
user_00147,A,Premium,35-44,Asia Pacific,Afternoon,We picked these songs just for you,1,0,0
user_00148,A,Free,45+,North America,Morning,We picked these songs just for you,1,0,0
user_00149,B,Free,18-24,North America,Morning,We picked these songs just for you,0,0,0
user_00150,A,Free,35-44,Europe,Morning,Your Weekly Music Recap is Here,0,0,0
user_00151,A,Free,45+,Europe,Morning,We picked these songs just for you,0,0,0
user_00152,A,Premium,45+,Latin America,Afternoon,Your Weekly Music Recap is Here,0,0,0
user_00153,A,Premium,18-24,Asia Pacific,Morning,We picked these songs just for you,1,0,0
user_00154,A,Free,25-34,Europe,Afternoon,Your Weekly Music Recap is Here,0,0,0
user_00155,B,Free,35-44,Asia Pacific,Afternoon,We picked these songs just for you,0,0,0
user_00156,A,Free,18-24,Latin America,Evening,We picked these songs just for you,0,0,0
user_00157,B,Premium,25-34,North America,Afternoon,Your Weekly Music Recap is Here,1,1,1
user_00158,A,Free,18-24,Asia Pacific,Evening,Your Weekly Music Recap is Here,0,0,0
user_00159,B,Free,18-24,Europe,Evening,We picked these songs just for you,1,0,0
user_00160,A,Free,25-34,Europe,Evening,We picked these songs just for you,1,0,0
user_00161,A,Free,25-34,Europe,Afternoon,We picked these songs just for you,0,0,0
user_00162,B,Free,25-34,Europe,Evening,Your Weekly Music Recap is Here,0,0,0
user_00163,B,Free,25-34,North America,Morning,We picked these songs just for you,0,0,0
user_00164,B,Free,18-24,Latin America,Afternoon,We picked these songs just for you,0,0,0
user_00165,A,Premium,18-24,Latin America,Morning,We picked these songs just for you,0,0,0
user_00166,B,Free,18-24,Latin America,Afternoon,Your Weekly Music Recap is Here,1,0,0
user_00167,A,Free,18-24,North America,Evening,We picked these songs just for you,0,0,0
user_00168,A,Free,25-34,Asia Pacific,Evening,Your Weekly Music Recap is Here,0,0,0
user_00169,B,Premium,35-44,North America,Afternoon,Your Weekly Music Recap is Here,0,0,0
user_00170,B,Free,18-24,North America,Evening,We picked these songs just for you,0,0,0
user_00171,A,Free,18-24,North America,Morning,Your Weekly Music Recap is Here,1,0,0
user_00172,A,Free,35-44,North America,Morning,Your Weekly Music Recap is Here,0,0,0
user_00173,B,Free,18-24,Europe,Evening,We picked these songs just for you,0,0,0
user_00174,B,Free,45+,Europe,Afternoon,We picked these songs just for you,0,0,0
user_00175,B,Premium,35-44,Latin America,Afternoon,We picked these songs just for you,0,0,0
user_00176,A,Premium,18-24,Asia Pacific,Morning,Your Weekly Music Recap is Here,0,0,0
user_00177,A,Free,18-24,Latin America,Evening,Your Weekly Music Recap is Here,1,0,0
user_00178,A,Free,25-34,Europe,Evening,Your Weekly Music Recap is Here,0,0,0
user_00179,A,Premium,18-24,Latin America,Morning,We picked these songs just for you,0,0,0
user_00180,A,Free,18-24,Latin America,Afternoon,Your Weekly Music Recap is Here,1,0,0
user_00181,A,Premium,18-24,Europe,Evening,We picked these songs just for you,1,0,0
user_00182,B,Free,35-44,Latin America,Afternoon,We picked these songs just for you,0,0,0
user_00183,A,Premium,25-34,Europe,Afternoon,Your Weekly Music Recap is Here,1,0,0
user_00184,A,Premium,18-24,North America,Morning,Your Weekly Music Recap is Here,0,0,0
user_00185,A,Premium,35-44,Europe,Afternoon,Your Weekly Music Recap is Here,1,0,0
user_00186,B,Free,25-34,Europe,Morning,We picked these songs just for you,0,0,0
user_00187,A,Free,25-34,Latin America,Evening,Your Weekly Music Recap is Here,0,0,0
user_00188,A,Premium,18-24,North America,Afternoon,We picked these songs just for you,0,0,0
user_00189,B,Free,25-34,Europe,Morning,Your Weekly Music Recap is Here,1,0,0
user_00190,A,Free,45+,Asia Pacific,Morning,We picked these songs just for you,0,0,0
user_00191,A,Premium,18-24,Asia Pacific,Afternoon,Your Weekly Music Recap is Here,0,0,0
user_00192,A,Premium,18-24,North America,Morning,Your Weekly Music Recap is Here,0,0,0
user_00193,A,Premium,18-24,North America,Evening,We picked these songs just for you,0,0,0
user_00194,A,Free,18-24,Europe,Afternoon,Your Weekly Music Recap is Here,0,0,0
user_00195,B,Premium,25-34,Europe,Evening,Your Weekly Music Recap is Here,1,1,0
user_00196,B,Premium,35-44,North America,Morning,We picked these songs just for you,1,0,0
user_00197,B,Free,45+,North America,Evening,Your Weekly Music Recap is Here,0,0,0
user_00198,A,Free,18-24,Latin America,Morning,Your Weekly Music Recap is Here,0,0,0
user_00199,A,Free,25-34,Latin America,Morning,We picked these songs just for you,0,0,0
user_00200,A,Free,25-34,Europe,Evening,Your Weekly Music Recap is Here,0,0,0
user_00201,B,Premium,25-34,Europe,Afternoon,Your Weekly Music Recap is Here,1,0,0
user_00202,A,Free,25-34,Europe,Afternoon,We picked these songs just for you,0,0,0
user_00203,A,Premium,18-24,North America,Afternoon,Your Weekly Music Recap is Here,1,0,0
user_00204,B,Premium,25-34,Europe,Evening,Your Weekly Music Recap is Here,0,0,0
user_00205,A,Free,25-34,North America,Evening,We picked these songs just for you,0,0,0
user_00206,B,Premium,35-44,Europe,Evening,Your Weekly Music Recap is Here,0,0,0
user_00207,B,Free,35-44,North America,Evening,Your Weekly Music Recap is Here,0,0,0
user_00208,B,Premium,18-24,Europe,Afternoon,Your Weekly Music Recap is Here,1,0,0
user_00209,A,Free,18-24,Europe,Afternoon,We picked these songs just for you,0,0,0
user_00210,A,Premium,45+,North America,Morning,Your Weekly Music Recap is Here,0,0,0
user_00211,A,Free,25-34,North America,Evening,Your Weekly Music Recap is Here,0,0,0
user_00212,A,Free,45+,North America,Afternoon,We picked these songs just for you,0,0,0
user_00213,A,Premium,18-24,Europe,Afternoon,We picked these songs just for you,0,0,0
user_00214,A,Free,25-34,North America,Afternoon,Your Weekly Music Recap is Here,0,0,0
user_00215,A,Free,25-34,North America,Afternoon,Your Weekly Music Recap is Here,0,0,0
user_00216,B,Free,45+,Europe,Afternoon,We picked these songs just for you,1,0,0
user_00217,A,Premium,18-24,Latin America,Afternoon,We picked these songs just for you,0,0,0
user_00218,B,Free,18-24,North America,Evening,We picked these songs just for you,1,0,0
user_00219,A,Free,25-34,Europe,Morning,Your Weekly Music Recap is Here,1,0,0
user_00220,A,Free,45+,Asia Pacific,Morning,We picked these songs just for you,0,0,0
user_00221,A,Free,45+,Asia Pacific,Evening,Your Weekly Music Recap is Here,0,0,0
user_00222,B,Free,45+,North America,Afternoon,Your Weekly Music Recap is Here,0,0,0
user_00223,B,Free,45+,Latin America,Evening,Your Weekly Music Recap is Here,0,0,0
user_00224,B,Free,18-24,Europe,Afternoon,We picked these songs just for you,0,0,0
user_00225,B,Free,18-24,Asia Pacific,Afternoon,We picked these songs just for you,0,0,0
user_00226,A,Free,18-24,Europe,Afternoon,We picked these songs just for you,0,0,0
user_00227,B,Premium,18-24,Latin America,Afternoon,We picked these songs just for you,1,0,0
user_00228,A,Free,35-44,Latin America,Afternoon,Your Weekly Music Recap is Here,0,0,0
user_00229,A,Free,45+,Europe,Evening,Your Weekly Music Recap is Here,1,0,0
user_00230,B,Free,18-24,Latin America,Evening,We picked these songs just for you,0,0,0
user_00231,B,Free,25-34,North America,Morning,Your Weekly Music Recap is Here,0,0,0
user_00232,B,Premium,45+,North America,Afternoon,We picked these songs just for you,1,0,0
user_00233,B,Free,25-34,Europe,Evening,Your Weekly Music Recap is Here,0,0,0
user_00234,B,Free,18-24,Asia Pacific,Evening,Your Weekly Music Recap is Here,1,0,0
user_00235,B,Free,25-34,Europe,Afternoon,We picked these songs just for you,1,0,0
user_00236,B,Free,25-34,Europe,Afternoon,Your Weekly Music Recap is Here,1,1,0
user_00237,B,Free,25-34,Europe,Evening,Your Weekly Music Recap is Here,0,0,0
user_00238,A,Free,25-34,North America,Afternoon,Your Weekly Music Recap is Here,1,0,0
user_00239,B,Free,18-24,North America,Evening,We picked these songs just for you,1,0,0
user_00240,B,Premium,45+,Latin America,Morning,Your Weekly Music Recap is Here,0,0,0
user_00241,A,Free,25-34,Asia Pacific,Afternoon,Your Weekly Music Recap is Here,1,0,0
user_00242,B,Free,25-34,North America,Morning,Your Weekly Music Recap is Here,0,0,0
user_00243,A,Premium,45+,Europe,Morning,We picked these songs just for you,0,0,0
user_00244,A,Premium,18-24,North America,Morning,Your Weekly Music Recap is Here,0,0,0
user_00245,B,Free,18-24,North America,Afternoon,We picked these songs just for you,0,0,0
user_00246,A,Premium,35-44,North America,Morning,We picked these songs just for you,0,0,0
user_00247,A,Premium,18-24,Europe,Evening,Your Weekly Music Recap is Here,1,0,0
user_00248,A,Free,35-44,North America,Evening,Your Weekly Music Recap is Here,0,0,0
user_00249,A,Free,18-24,North America,Afternoon,Your Weekly Music Recap is Here,0,0,0
user_00250,B,Free,18-24,Latin America,Afternoon,Your Weekly Music Recap is Here,1,0,0
user_00251,A,Premium,25-34,Asia Pacific,Morning,Your Weekly Music Recap is Here,0,0,0
user_00252,B,Free,18-24,North America,Afternoon,Your Weekly Music Recap is Here,0,0,0
user_00253,A,Free,35-44,Europe,Evening,We picked these songs just for you,0,0,0
user_00254,A,Premium,25-34,North America,Evening,Your Weekly Music Recap is Here,0,0,0
user_00255,A,Free,45+,Asia Pacific,Evening,Your Weekly Music Recap is Here,0,0,0
user_00256,A,Free,35-44,Europe,Afternoon,We picked these songs just for you,0,0,0
user_00257,B,Free,18-24,Latin America,Evening,Your Weekly Music Recap is Here,0,0,0
user_00258,B,Free,35-44,North America,Afternoon,Your Weekly Music Recap is Here,1,0,0
user_00259,A,Premium,25-34,Europe,Morning,We picked these songs just for you,1,0,0
user_00260,A,Free,35-44,Europe,Evening,We picked these songs just for you,1,0,0
user_00261,B,Premium,35-44,North America,Morning,Your Weekly Music Recap is Here,1,0,0
user_00262,A,Free,25-34,North America,Evening,We picked these songs just for you,0,0,0
user_00263,A,Free,25-34,Europe,Evening,We picked these songs just for you,1,0,0
user_00264,A,Premium,25-34,Latin America,Evening,We picked these songs just for you,0,0,0
user_00265,B,Free,18-24,North America,Morning,We picked these songs just for you,1,0,0
user_00266,B,Free,18-24,Europe,Evening,Your Weekly Music Recap is Here,0,0,0
user_00267,B,Free,25-34,North America,Morning,We picked these songs just for you,0,0,0
user_00268,A,Premium,18-24,North America,Afternoon,Your Weekly Music Recap is Here,0,0,0
user_00269,A,Free,18-24,Europe,Evening,Your Weekly Music Recap is Here,1,1,0
user_00270,B,Free,18-24,North America,Evening,We picked these songs just for you,0,0,0
user_00271,B,Free,25-34,Europe,Morning,Your Weekly Music Recap is Here,0,0,0
user_00272,B,Free,25-34,North America,Evening,We picked these songs just for you,0,0,0
user_00273,B,Premium,35-44,Europe,Afternoon,We picked these songs just for you,0,0,0
user_00274,A,Free,25-34,Europe,Evening,We picked these songs just for you,0,0,0
user_00275,B,Free,25-34,Asia Pacific,Afternoon,We picked these songs just for you,0,0,0
user_00276,A,Free,25-34,North America,Afternoon,Your Weekly Music Recap is Here,0,0,0
user_00277,B,Free,35-44,Latin America,Evening,Your Weekly Music Recap is Here,1,0,0
user_00278,A,Premium,25-34,North America,Evening,We picked these songs just for you,0,0,0
user_00279,B,Free,45+,Europe,Afternoon,We picked these songs just for you,0,0,0
user_00280,B,Premium,45+,Europe,Afternoon,Your Weekly Music Recap is Here,0,0,0
user_00281,B,Free,35-44,North America,Afternoon,Your Weekly Music Recap is Here,1,0,0
user_00282,B,Free,45+,Europe,Evening,We picked these songs just for you,0,0,0
user_00283,A,Premium,25-34,North America,Morning,We picked these songs just for you,0,0,0
user_00284,B,Free,25-34,North America,Evening,We picked these songs just for you,1,0,0
user_00285,A,Premium,35-44,North America,Morning,Your Weekly Music Recap is Here,0,0,0
user_00286,A,Premium,35-44,Latin America,Morning,We picked these songs just for you,0,0,0
user_00287,A,Free,45+,Latin America,Evening,We picked these songs just for you,0,0,0
user_00288,A,Free,35-44,North America,Morning,Your Weekly Music Recap is Here,0,0,0
user_00289,B,Premium,45+,Europe,Afternoon,We picked these songs just for you,0,0,0
user_00290,A,Free,18-24,North America,Evening,We picked these songs just for you,0,0,0
user_00291,A,Free,35-44,North America,Morning,Your Weekly Music Recap is Here,0,0,0
user_00292,A,Free,35-44,Latin America,Afternoon,Your Weekly Music Recap is Here,0,0,0
user_00293,B,Free,35-44,Europe,Morning,Your Weekly Music Recap is Here,0,0,0
user_00294,B,Premium,18-24,North America,Morning,Your Weekly Music Recap is Here,0,0,0
user_00295,B,Free,35-44,North America,Afternoon,We picked these songs just for you,1,0,0
user_00296,B,Free,45+,Latin America,Afternoon,Your Weekly Music Recap is Here,0,0,0
user_00297,A,Free,18-24,North America,Evening,Your Weekly Music Recap is Here,0,0,0
user_00298,A,Free,25-34,North America,Morning,We picked these songs just for you,1,0,0
user_00299,B,Free,25-34,Europe,Evening,Your Weekly Music Recap is Here,0,0,0
user_00300,A,Premium,45+,Europe,Evening,Your Weekly Music Recap is Here,1,0,0
user_00301,A,Free,25-34,Europe,Morning,Your Weekly Music Recap is Here,0,0,0
user_00302,A,Premium,18-24,Latin America,Morning,We picked these songs just for you,1,1,0
user_00303,B,Premium,25-34,North America,Evening,Your Weekly Music Recap is Here,1,0,0
user_00304,B,Free,35-44,Latin America,Afternoon,We picked these songs just for you,0,0,0
user_00305,A,Free,18-24,North America,Evening,Your Weekly Music Recap is Here,1,0,0
user_00306,B,Free,25-34,Europe,Morning,We picked these songs just for you,0,0,0
user_00307,B,Free,45+,Latin America,Afternoon,We picked these songs just for you,0,0,0
user_00308,B,Premium,45+,Europe,Evening,Your Weekly Music Recap is Here,0,0,0
user_00309,B,Premium,18-24,Latin America,Morning,We picked these songs just for you,0,0,0
user_00310,B,Free,45+,Latin America,Afternoon,Your Weekly Music Recap is Here,0,0,0
user_00311,A,Free,35-44,North America,Afternoon,Your Weekly Music Recap is Here,0,0,0
user_00312,B,Premium,18-24,Latin America,Afternoon,We picked these songs just for you,1,0,0
user_00313,A,Premium,18-24,Asia Pacific,Morning,We picked these songs just for you,0,0,0
user_00314,A,Free,18-24,Europe,Evening,We picked these songs just for you,0,0,0
user_00315,B,Free,35-44,North America,Morning,We picked these songs just for you,1,0,0
user_00316,A,Free,18-24,North America,Morning,We picked these songs just for you,0,0,0
user_00317,A,Premium,18-24,North America,Afternoon,We picked these songs just for you,0,0,0
user_00318,A,Free,35-44,North America,Evening,We picked these songs just for you,0,0,0
user_00319,B,Free,25-34,Europe,Afternoon,We picked these songs just for you,0,0,0
user_00320,B,Free,35-44,North America,Morning,Your Weekly Music Recap is Here,1,0,0
user_00321,A,Free,35-44,North America,Afternoon,Your Weekly Music Recap is Here,1,1,0
user_00322,B,Free,18-24,Europe,Morning,We picked these songs just for you,0,0,0
user_00323,B,Premium,45+,Europe,Morning,We picked these songs just for you,1,0,0
user_00324,B,Free,18-24,Europe,Morning,Your Weekly Music Recap is Here,0,0,0
user_00325,B,Free,25-34,Latin America,Afternoon,We picked these songs just for you,0,0,0
user_00326,A,Free,25-34,North America,Evening,We picked these songs just for you,0,0,0
user_00327,A,Free,18-24,North America,Afternoon,We picked these songs just for you,0,0,0
user_00328,B,Free,45+,North America,Morning,Your Weekly Music Recap is Here,0,0,0
user_00329,B,Free,25-34,Europe,Afternoon,Your Weekly Music Recap is Here,0,0,0
user_00330,A,Free,18-24,North America,Morning,Your Weekly Music Recap is Here,1,0,0
user_00331,A,Free,45+,Latin America,Evening,Your Weekly Music Recap is Here,1,0,0
user_00332,B,Free,25-34,North America,Evening,We picked these songs just for you,0,0,0
user_00333,A,Free,35-44,Asia Pacific,Morning,We picked these songs just for you,0,0,0
